 Patent_ Owner,Type_Patent,Category,Year, Total 
ไทย,สิทธิบัตรการประดิษฐ์   ,ยื่นขอ,2557, 983 
ต่างชาติ,สิทธิบัตรการประดิษฐ์   ,ยื่นขอ,2557," 6,947 "
ไทย,สิทธิบัตรการประดิษฐ์   ,ยื่นขอ,2558," 1,029 "
ต่างชาติ,สิทธิบัตรการประดิษฐ์   ,ยื่นขอ,2558," 7,138 "
ไทย,สิทธิบัตรการประดิษฐ์   ,ยื่นขอ,2559," 1,098 "
ต่างชาติ,สิทธิบัตรการประดิษฐ์   ,ยื่นขอ,2559," 6,722 "
ไทย,สิทธิบัตรการประดิษฐ์   ,ยื่นขอ,2560, 979 
ต่างชาติ,สิทธิบัตรการประดิษฐ์   ,ยื่นขอ,2560," 6,886 "
ไทย,สิทธิบัตรการประดิษฐ์   ,ยื่นขอ,2561, 867 
ต่างชาติ,สิทธิบัตรการประดิษฐ์   ,ยื่นขอ,2561," 7,279 "
ไทย,สิทธิบัตรการออกแบบผลิตภัณฑ์,ยื่นขอ,2557," 2,806 "
ต่างชาติ,สิทธิบัตรการออกแบบผลิตภัณฑ์,ยื่นขอ,2557," 1,271 "
ไทย,สิทธิบัตรการออกแบบผลิตภัณฑ์,ยื่นขอ,2558," 3,162 "
ต่างชาติ,สิทธิบัตรการออกแบบผลิตภัณฑ์,ยื่นขอ,2558," 1,299 "
ไทย,สิทธิบัตรการออกแบบผลิตภัณฑ์,ยื่นขอ,2559," 3,566 "
ต่างชาติ,สิทธิบัตรการออกแบบผลิตภัณฑ์,ยื่นขอ,2559," 1,357 "
ไทย,สิทธิบัตรการออกแบบผลิตภัณฑ์,ยื่นขอ,2560," 3,698 "
ต่างชาติ,สิทธิบัตรการออกแบบผลิตภัณฑ์,ยื่นขอ,2560," 1,424 "
ไทย,สิทธิบัตรการออกแบบผลิตภัณฑ์,ยื่นขอ,2561," 4,043 "
ต่างชาติ,สิทธิบัตรการออกแบบผลิตภัณฑ์,ยื่นขอ,2561," 1,426 "
ไทย,สิทธิบัตรการประดิษฐ์   ,จด,2557, 67 
ต่างชาติ,สิทธิบัตรการประดิษฐ์   ,จด,2557," 1,219 "
ไทย,สิทธิบัตรการประดิษฐ์   ,จด,2558, 62 
ต่างชาติ,สิทธิบัตรการประดิษฐ์   ,จด,2558," 1,302 "
ไทย,สิทธิบัตรการประดิษฐ์   ,จด,2559, 61 
ต่างชาติ,สิทธิบัตรการประดิษฐ์   ,จด,2559," 1,777 "
ไทย,สิทธิบัตรการประดิษฐ์   ,จด,2560, 88 
ต่างชาติ,สิทธิบัตรการประดิษฐ์   ,จด,2560," 2,992 "
ไทย,สิทธิบัตรการประดิษฐ์   ,จด,2561, 128 
ต่างชาติ,สิทธิบัตรการประดิษฐ์   ,จด,2561," 3,690 "
ไทย,สิทธิบัตรการออกแบบผลิตภัณฑ์,จด,2557," 1,455 "
ต่างชาติ,สิทธิบัตรการออกแบบผลิตภัณฑ์,จด,2557," 1,022 "
ไทย,สิทธิบัตรการออกแบบผลิตภัณฑ์,จด,2558," 2,090 "
ต่างชาติ,สิทธิบัตรการออกแบบผลิตภัณฑ์,จด,2558," 1,621 "
ไทย,สิทธิบัตรการออกแบบผลิตภัณฑ์,จด,2559," 2,103 "
ต่างชาติ,สิทธิบัตรการออกแบบผลิตภัณฑ์,จด,2559," 1,652 "
ไทย,สิทธิบัตรการออกแบบผลิตภัณฑ์,จด,2560," 2,092 "
ต่างชาติ,สิทธิบัตรการออกแบบผลิตภัณฑ์,จด,2560," 1,469 "
ไทย,สิทธิบัตรการออกแบบผลิตภัณฑ์,จด,2561," 2,244 "
ต่างชาติ,สิทธิบัตรการออกแบบผลิตภัณฑ์,จด,2561," 1,377 "
